id,target,gold_source,predicted_rank_1,gold_rank,top_k_sources,top_k_scores
217,Egypt,Ancient Greece,India,4,"['India', 'Ancient Western Asia', 'China', 'Ancient Greece', 'Ancient Rome', 'Islam', 'Christianity', 'Desert', 'The Great Wall', 'Alphabet', 'Archeology', 'City', 'Population Movement', 'city', 'poverty', 'nation', 'human', 'Great Wall', 'eating dinner', 'Enlightenment']","[0.4845899701156077, 0.48118238698773164, 0.45666349952761404, 0.444747821367955, 0.39992469965472216, 0.3269724598056385, 0.3173224714442686, 0.31622025681338106, 0.3144525295884056, 0.3106053804277176, 0.2995670041487794, 0.29716950536480463, 0.28479212135788323, 0.2845918758779017, 0.2737214656132837, 0.26764011171267676, 0.2666799761701679, 0.26623721350908325, 0.2613144356702953, 0.25617000732256034]"
218,Ancient Asia,Ancient Greece,Ancient Western Asia,2,"['Ancient Western Asia', 'Ancient Greece', 'Ancient Rome', 'India', 'China', 'Islam', 'Christianity', 'The Writing System', 'The War Against Japan', 'The Great Wall', 'Journey to the West', 'Archeology', 'Enlightenment', 'Printing', 'The Second Industrial Revolution', 'Alphabet', 'Great Wall', 'human', 'Archery', 'The Discovery of India']","[0.7365330535463246, 0.546646874642198, 0.49071143809966916, 0.47077354206113947, 0.4561948095118562, 0.3870106976745753, 0.38194160640159236, 0.3253952676876126, 0.3251696811359719, 0.31975052973784096, 0.3054622767521974, 0.3030862628100002, 0.2998925610974772, 0.29744388189287885, 0.29270376292437755, 0.29152926886313385, 0.28787491339736904, 0.2799227977700614, 0.2699938272693025, 0.2669265887555873]"
219,Gusia,India,Sunrise,-1,"['Sunrise', 'air circulation ducts', 'White Night Walk', 'The Discovery of America', 'Recovering a Corrupted Music File', 'Gourmet', 'object slides', 'Prospecting', 'The Great Gatsby', 'Typo', 'ideas', 'idea', 'shelf', 'The Puzzle', 'Manual', 'Group Behavior', 'Buy and Sell', 'A Puzzle', 'understanding', 'Nie Haihua']","[0.5224387265403245, 0.4060934126317787, 0.4044765726516307, 0.38108316672347375, 0.30309474653947377, 0.2548757212862255, 0.19886785614098673, 0.19502579460751784, 0.1890590318241792, 0.1842403907737412, 0.17896506946813792, 0.17374339134444794, 0.16997791633182135, 0.16987528515060718, 0.16773257213511117, 0.1628861569722439, 0.15800593611338715, 0.15338009609114373, 0.1530986673109725, 0.15291947378573978]"
220,Egypt,India,Ancient Western Asia,4,"['Ancient Western Asia', 'Ancient Greece', 'Ancient Rome', 'India', 'China', 'Alphabet', 'Archeology', 'The Great Wall', 'The Writing System', 'Desert', 'Christianity', 'human', 'Islam', 'city', 'Great Wall', 'City', 'Feudal Dynasties', 'Enlightenment', 'River', 'nation']","[0.551571994121468, 0.4691968827471723, 0.46574428531326206, 0.46181519338492305, 0.4419024873459664, 0.4246891193176607, 0.4173327983547075, 0.3577352432844169, 0.3446296370117972, 0.34068260995745414, 0.33085670807080336, 0.31936585517478233, 0.3136050409728959, 0.31243265305679235, 0.30913125177841466, 0.3060265565175022, 0.29559832521005697, 0.29492546874815545, 0.2895846000275999, 0.28778251566338797]"
221,Egypt,Ancient Rome,India,5,"['India', 'China', 'Ancient Western Asia', 'Ancient Greece', 'Ancient Rome', 'City', 'Christianity', 'city', 'Alphabet', 'Islam', 'Archeology', 'The Great Wall', 'Desert', 'nation', 'human', 'Great Wall', 'Plants', 'poverty', 'River', 'Enlightenment']","[0.5051179455220337, 0.47749684831590167, 0.4710595385954906, 0.4617219945545438, 0.43333323432256665, 0.37986937591575776, 0.37780924242773356, 0.3676337083124957, 0.36390869101701895, 0.36289058117250705, 0.33294376662735015, 0.3290344436328922, 0.32328513918690716, 0.31110894011914897, 0.30355229430033664, 0.29048701446069614, 0.28905056652339123, 0.2834569658696117, 0.28018373636090377, 0.278744556839082]"
222,Egypt,China,India,3,"['India', 'Ancient Western Asia', 'China', 'Ancient Greece', 'Christianity', 'Ancient Rome', 'Islam', 'Alphabet', 'Desert', 'City', 'The Great Wall', 'nation', 'city', 'Archeology', 'Great Wall', 'Population Movement', 'poverty', 'Dust Storm', 'Plants', 'Democracy']","[0.48803734794206455, 0.47749966670400495, 0.426228931615282, 0.40584708677166176, 0.37914460141074924, 0.3694036182094224, 0.3625384572003679, 0.34572227445392073, 0.33441557333080935, 0.30509367881426896, 0.3019727310641611, 0.2869934325695711, 0.28155460543348393, 0.27815194393562925, 0.26251965405522665, 0.2615357479477596, 0.25837482094423714, 0.2508584548585504, 0.24685625010224674, 0.2405686029641743]"
223,Gusia,China,Sunrise,-1,"['Sunrise', 'White Night Walk', 'air circulation ducts', 'The Discovery of America', 'Recovering a Corrupted Music File', 'Gourmet', 'The Great Gatsby', 'Ancient Western Asia', 'Archeology', 'object slides', 'Nie Haihua', 'The Puzzle', 'Typo', 'The War Against Japan', 'Buy and Sell', 'Deciphering the Code', 'Maps', 'The Hunt', 'A Puzzle', 'Fortress Besieged']","[0.444741658942263, 0.3967565384417038, 0.33796405352377, 0.33692251755385133, 0.29587728044114603, 0.2242276076622623, 0.2226689190023151, 0.20312543610533257, 0.19166153738755262, 0.19156155624226148, 0.18437463646613894, 0.17574815452469944, 0.17472151271569325, 0.17150259775451082, 0.16836717122729006, 0.16489013290554208, 0.160192031748996, 0.15371706765268556, 0.1535445851229148, 0.1534471571052737]"
224,Ancient Asia,Ancient Rome,Ancient Western Asia,3,"['Ancient Western Asia', 'Ancient Greece', 'Ancient Rome', 'China', 'India', 'The Great Wall', 'Christianity', 'Great Wall', 'The War Against Japan', 'Archeology', 'Islam', 'human', 'Journey to the West', 'The Second Industrial Revolution', 'Enlightenment', 'The Writing System', 'Printing', 'Desert', 'The Discovery of India', 'Archery']","[0.7027277208122049, 0.5409981738240024, 0.512335603829027, 0.5094271098365433, 0.47175251858074607, 0.37653431791854897, 0.3533964895415853, 0.3533200212204053, 0.3523621807345121, 0.338895315083239, 0.3336445061616301, 0.32320369220753453, 0.30412283501071724, 0.30070056470161555, 0.29324268588536173, 0.2897746253493164, 0.28834497649263663, 0.28708074782007165, 0.2828238957416389, 0.2804091441415205]"
225,India,China,India,3,"['India', 'The Discovery of India', 'China', 'Ancient Western Asia', 'Islam', 'Christianity', 'Ancient Greece', 'human', 'Desert', 'Population Movement', 'City', 'nation', 'poverty', 'Ancient Rome', 'city', 'Democracy', 'Plants', 'Biological Evolution', 'Evolution', 'Occupation']","[0.9067525885773591, 0.48053243737413354, 0.45523338680646314, 0.38008982719721507, 0.3715698114794891, 0.3595813155138171, 0.34529866123909664, 0.34186626567786793, 0.32777759841092347, 0.3174373474425679, 0.31593048110274913, 0.3146089873118696, 0.31182878632772515, 0.3081888503453929, 0.3080706175074756, 0.3006659481814261, 0.3003680560359632, 0.297538137501212, 0.27999845296498777, 0.27880890919422097]"
226,India,Ancient Greece,India,10,"['India', 'The Discovery of India', 'China', 'Islam', 'Ancient Western Asia', 'nation', 'Ancient Rome', 'City', 'Christianity', 'Ancient Greece', 'human', 'Declaration of Independence', 'city', 'Desert', 'Democracy', 'River', 'poverty', 'The Second Industrial Revolution', 'state', 'Population Movement']","[0.9047815736742226, 0.5217561985175451, 0.4796200048336405, 0.3650818759828608, 0.3555328852569095, 0.35499498000925267, 0.3508054680482138, 0.34121384020145845, 0.33570097760393286, 0.3353981026673424, 0.32419978743650857, 0.3142123892316652, 0.31056681934329267, 0.3100510785996887, 0.3042048037885911, 0.3034970167301456, 0.30264835670759666, 0.2877976405577958, 0.287251406241828, 0.28432440053885744]"
227,India,Ancient Rome,India,6,"['India', 'The Discovery of India', 'China', 'Islam', 'Christianity', 'Ancient Rome', 'Ancient Western Asia', 'City', 'nation', 'Ancient Greece', 'The Second Industrial Revolution', 'city', 'poverty', 'Desert', 'human', 'Democracy', 'British Government System', 'Biological Evolution', 'government', 'Declaration of Independence']","[0.8876752354669907, 0.498556237685366, 0.47159570021053765, 0.4098884124450719, 0.3849131519561631, 0.37297615515231086, 0.363192444117434, 0.3461433602323128, 0.3414860379603567, 0.3333830216449741, 0.3215951808807229, 0.3186357356747414, 0.30500218457416634, 0.30459906455820857, 0.3026996195983296, 0.28553574314255076, 0.28403639583369367, 0.28069446950835286, 0.27990531322972223, 0.2782222145003882]"
228,China,Ancient Greece,China,16,"['China', 'Chinese Political System', 'The Revolution of 1911', 'Revolution of 1911', 'Democratic Centralism in China', 'India', 'The Great Wall', 'Great Wall', 'New Culture Movement', 'Reform Movement of 1898', 'Ancient Rome', 'The War Against Japan', 'Nie Haihua', 'Christianity', 'Ancient Western Asia', 'Ancient Greece', 'A Dream of Red Mansions', 'nation', 'Leaping Over Barriers', 'poverty']","[0.8636529503605822, 0.6395032458159736, 0.5547057896923975, 0.5214895008471684, 0.49552716232728145, 0.49492963299418113, 0.4739052694149689, 0.4647473599986382, 0.43814771360360816, 0.4019420080885789, 0.3769901105616039, 0.369341956177458, 0.35491325768066206, 0.353743667264938, 0.3409628933687431, 0.33950677182152933, 0.33705452347562276, 0.3351778820994488, 0.3334829788114445, 0.3237327385999095]"
229,China,Ancient Rome,China,10,"['China', 'Chinese Political System', 'The Revolution of 1911', 'Revolution of 1911', 'India', 'Great Wall', 'The Great Wall', 'Democratic Centralism in China', 'New Culture Movement', 'Ancient Rome', 'Reform Movement of 1898', 'The War Against Japan', 'Christianity', 'Ancient Greece', 'Ancient Western Asia', 'The Second Industrial Revolution', 'City', 'The French Revolution', 'money', 'poverty']","[0.8172250310761335, 0.6018648117609173, 0.5482035225131998, 0.5266419855761877, 0.4945946924233573, 0.4894883892240261, 0.48762796229486366, 0.4436128161373488, 0.419603368535843, 0.4071028467349127, 0.3995058513218923, 0.380804194791418, 0.3703416657060402, 0.34188831552121757, 0.3357479609213641, 0.3331100304388909, 0.33266213960234814, 0.3190339936319977, 0.3170452439705284, 0.31605190622408813]"
230,Ancient Greece,Ancient Rome,Ancient Greece,2,"['Ancient Greece', 'Ancient Rome', 'Ancient Western Asia', 'Enlightenment', 'Archeology', 'India', 'China', 'Democracy', 'Christianity', 'human', 'The French Revolution', 'Gourmet', 'Architecture', 'city', 'Feudal Dynasties', 'The Great Wall', 'Alphabet', 'City', 'politics', 'American Civil War']","[0.9214230203001337, 0.5905339776254304, 0.5582201830737776, 0.38059806263069496, 0.3708815934339097, 0.3707600542013689, 0.3601730744985148, 0.3398173489334647, 0.322446165228952, 0.3039470474559041, 0.30216344234513703, 0.29531813869346873, 0.29291771701418834, 0.2831800157430549, 0.27986623385287446, 0.27958354542058805, 0.27855898850832506, 0.27774429762914654, 0.274497283818766, 0.26726246669337606]"
231,Buddhism,Christianity,Christianity,1,"['Christianity', 'India', 'Islam', 'Journey to the West', 'China', 'Ancient Western Asia', 'faith', 'Ancient Greece', 'Enlightenment', 'The Discovery of India', 'accepting a belief', 'Ancient Rome', 'universe', 'Biological Evolution', 'The War Against Japan', 'education', 'Democratic Centralism in China', 'New Culture Movement', 'Evolution', 'theory']","[0.5178051258260578, 0.4391716389197198, 0.4369541662260028, 0.37859768384483417, 0.34888183125408956, 0.3277114730596172, 0.31506474574275056, 0.2997300744184867, 0.288945167808025, 0.28035325497144536, 0.27948466518762805, 0.27597900883894166, 0.26295225174188375, 0.25726741916822704, 0.2561110292704619, 0.2539557844389474, 0.2441977355135597, 0.24250448929840035, 0.24158280503395269, 0.24121629838506436]"
232,Buddhism,Islam,Christianity,3,"['Christianity', 'India', 'Islam', 'Journey to the West', 'China', 'Ancient Western Asia', 'faith', 'accepting a belief', 'The Discovery of India', 'Ancient Greece', 'universe', 'Ancient Rome', 'Enlightenment', 'Biological Evolution', 'New Culture Movement', 'Buildings', 'Leaping Over Barriers', 'mind', 'book', 'Feudal Dynasties']","[0.4692653015635804, 0.4587437624679441, 0.39295014910191206, 0.3702989135859628, 0.35701497894884826, 0.3142592309234457, 0.29564055097573405, 0.2780379114861916, 0.277401531326195, 0.27589235522589606, 0.2676545914270727, 0.26532478123282965, 0.2632138699747675, 0.25644808045666034, 0.25178353249897734, 0.2447670709224132, 0.2432496071561822, 0.24285282804711839, 0.24238481244030788, 0.2388580669621178]"
233,Christianity,Islam,Christianity,2,"['Christianity', 'Islam', 'faith', 'India', 'China', 'Ancient Western Asia', 'Ancient Greece', 'Ancient Rome', 'Plants', 'City', 'planet', 'Journey to the West', 'Enlightenment', 'Biological Evolution', 'life', 'nation', 'Printing', 'eating dinner', 'city', 'universe']","[0.9117671957248703, 0.5420895059454287, 0.4225080477644673, 0.4045164811235332, 0.39942978588830746, 0.37685130357042407, 0.36361962453316143, 0.34316851965055717, 0.30739104139784085, 0.2918887800156318, 0.28450528821700594, 0.27813989384014814, 0.2770827849685774, 0.276777486331824, 0.2749972537035342, 0.27372772597042183, 0.2720439776311403, 0.2644531753704248, 0.26170396999754103, 0.2580684929094317]"
234,The Discovery of the Cape of Good Hope,The Discovery of America,The Discovery of America,1,"['The Discovery of America', 'The Discovery of India', 'The Long Journey', 'Journey to the West', 'Brave New World', 'Declaration of Independence', 'The Old Man and the Sea', 'The American War of Independence', 'Love in the Time of Cholera', 'Into the Wild', 'Foundation Series', 'Enlightenment', 'Deciphering the Code', 'Maps', 'Christianity', 'The Great Gatsby', 'Prospecting', 'Ancient Greece', 'The Hunt', 'New Culture Movement']","[0.645622847266504, 0.4971768814310505, 0.396491354935042, 0.28296485418877715, 0.27974592879825994, 0.27764972624420736, 0.26823634291342385, 0.2565700069226516, 0.2565464808531882, 0.2549239693321573, 0.24995571414514234, 0.2412506208418747, 0.24050981316475922, 0.226948773687563, 0.22692799089917598, 0.2165483515754167, 0.21595129777015845, 0.20720334078977742, 0.20466818177740548, 0.2035748567965388]"
235,The Discovery of the Cape of Good Hope,The Discovery of India,The Discovery of America,2,"['The Discovery of America', 'The Discovery of India', 'The Long Journey', 'Declaration of Independence', 'Brave New World', 'Journey to the West', 'The American War of Independence', 'Love in the Time of Cholera', 'Into the Wild', 'Foundation Series', 'The Old Man and the Sea', 'Deciphering the Code', 'The Great Gatsby', 'Christianity', 'Prospecting', 'Enlightenment', 'The Hunt', 'Archeology', 'American Civil War', 'Fortress Besieged']","[0.7037904769920748, 0.5717969556670346, 0.4370841242751111, 0.3156682429055234, 0.30299305827011236, 0.30262982687198653, 0.2852040162377942, 0.2799131168779532, 0.27599574145599304, 0.2688815234063363, 0.26336115998213117, 0.2483655620245072, 0.24519936021696037, 0.24433756225936396, 0.24230730315092228, 0.23974684045465042, 0.2358451237844472, 0.226178309388351, 0.2238850112632181, 0.22019943795639263]"
236,The Discovery of America,The Discovery of India,The Discovery of America,2,"['The Discovery of America', 'The Discovery of India', 'Prospecting', 'Sailing', 'The Long Journey', 'Sunrise', 'Declaration of Independence', 'The Hunt', 'Brave New World', 'The American War of Independence', 'find a shortest path on the map', 'The Old Man and the Sea', 'Deciphering the Code', 'Dust Storm', 'Crime Scene', 'planet', 'theory', 'The Maze Problem', 'Maps', 'Desert']","[0.7415568829156427, 0.3460732253847818, 0.2786003989896263, 0.26014701253784517, 0.2451015889042056, 0.237184183720637, 0.2238303998110973, 0.22369046086743194, 0.22079670535585588, 0.20821587134338546, 0.20452499517703437, 0.2031920412550989, 0.20158402762889824, 0.19479168954059878, 0.19295130706924704, 0.19221121891616977, 0.19185124404786943, 0.18911512598611435, 0.1883738864697947, 0.1882635532080405]"
